图书名称,作者,出版社,出版时间,价格
外婆,伍剑,未知,伍剑,¥8.40
阿勒泰的角落(《我的阿勒泰》姊妹篇，毛不易、于适推荐。李娟成名...,李娟,新经典,李娟著 ，新经典出品,¥40.70
如果历史是一群喵1-14（套装共14册）,肥志,漫友文化出品,肥志编绘，漫友文化出品,¥387.60
正念的奇迹：获得身心的安详和悦乐,一行禅师,未知,一行禅师,¥32.90
小升初满分作文一本全 名师解析点评 名师点读,刘晔,未知,刘晔主编,¥9.90
命运：文在寅自传（韩国总统中文版官方授权）,文在寅,凤凰联动,文在寅著，凤凰联动出品,¥24.40
道德经（中华经典名著全本全注全译-三全本）,张景,张松辉,张景，张松辉译注,¥14.40
埃隆・马斯克传 埃隆马斯克亲自参与并公开推荐 《史蒂夫・乔布斯...,沃尔特・艾萨克森,未知,沃尔特・艾萨克森,¥79.00
河清海晏 （  知乎24W高赞、15000+评论热议、200万读者含泪力荐！...,橘子不酸,嘉树文化,橘子不酸著；嘉树文化出品,¥16.70
小城与不确定性的墙 村上春树新书 时隔六年全新长篇小说 著名译者...,村上春树,施小炜,[日]村上春树著；施小炜译；读客文化出品,¥49.90
杨绛传：永不褪色的优雅（精装版 附赠书签）,吴玲,未知,吴玲,¥14.80
读读童谣和儿歌（共四册）一年级下册 语文教科书配套书目 人教版...,曹文轩,陈先云,曹文轩陈先云主编,¥23.90
我爸爸我妈妈全2册――清华附小推荐经典儿童绘本,安东尼・布朗,启发童书馆,〔英〕安东尼・布朗著，启发童书馆出品,¥41.30
亮丽精美触摸书：小兔比利 0-3岁幼儿早教启蒙感官认知触感翻翻书,莫里斯・普莱格尔,荣信文化,编译,¥29.00
你好，安东医生（全4册，平装套装，缓解就医恐惧，小动物的欢乐就...,西村敏雄,未知,[日]西村敏雄著,¥59.00
米小圈上学记一年级（套装共4册）,北猫,未知,北猫,¥50.00
见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋...,纵虎嗅花,未知,纵虎嗅花著,¥24.90
人生不怕从头再来,刘晓庆,未知,刘晓庆,¥16.70
快乐就是哈哈哈哈哈,梁实秋,时代华语,梁实秋著时代华语出品,¥9.90
人鱼陷落全四册（畅销书作者麟潜口碑代表作！）,麟潜,博集天卷,"麟潜著,博集天卷出品",¥105.60
我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季...,史铁生,汪曾祺,史铁生汪曾祺等 著，文通天下出品,¥9.90
博弈论（精装版）：11位诺贝尔奖得主推荐！收益一生的思维方式与...,约翰・冯・诺依曼,未知,（美）约翰・冯・诺依曼,¥15.00
小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,未知,博多・舍费尔,¥39.80
有钱花（女性财富觉醒之书！愿你拥有赚钱的能力，管钱的智慧，花...,李筱懿,果麦文化,李筱懿，果麦文化出品,¥24.50
如果历史是一群喵4-东汉末年篇,肥志,漫友文化,肥志著漫友文化出品,¥29.90
"父与子全集（拼音版）亲子同读,全彩注音配文升级阅读,大厚本全书...",埃・奥・卜劳恩,凤凰含章出品,[德]埃・奥・卜劳恩凤凰含章出品,¥8.60
在峡江的转弯处：陈行甲人生笔记？（当当专享签章版，南方周末、...,陈行甲,未知,陈行甲,¥24.00
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,罗尔德・达尔,昆汀・布莱克,(英)罗尔德・达尔著； (英)昆汀・布莱克绘；代维译。,¥12.60
幸福小鸡系列（6册。工藤纪子代表作。萌萌的小鸡五胞胎、趣味横生...,工藤纪子,彭懿,[日]工藤纪子著彭懿译,¥70.50
神笔马良 二年级下册 语文教科书配套书目 人教版快乐读书吧,曹文轩,陈先云,曹文轩陈先云主编,¥9.60
如果历史是一群喵3・秦楚两汉篇,肥志,漫友文化出品,肥志编绘，漫友文化出品,¥29.90
崔玉涛育儿百科 百万册纪念版,崔玉涛,未知,崔玉涛,¥80.10
第七天（2024年百班千人寒假书单 九年级推荐阅读）（2022版，余华...,余华,新经典,余华著，新经典出品,¥33.80
愿望的实现 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声...,泰戈尔,未知,泰戈尔（印度）,¥8.50
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，一部关于人生信...,赫尔曼・黑塞,周苇,"【德】赫尔曼・黑塞著,周苇译;",¥21.00
苏东坡传（林语堂纪念典藏精装版）,林语堂,博集天卷,"林语堂著,博集天卷出品",¥26.00
华杉讲透孙子兵法（《狂飙》高启强的人生之书！这回终于读懂孙子...,华杉,读客文化,华杉；读客文化出品,¥34.90
二次成长（新版）戳穿“混得不好”的人生真相。我们90%的问题都与...,未知,未知,,¥19.90
傲慢与偏见 世界名著典藏,奥斯丁,罗良功,（英）奥斯丁著，罗良功译万亭文化出品,¥6.00
我的前半生：末代皇帝爱新觉罗・溥仪自传，随书附赠《清朝皇帝世...,爱新觉罗・溥仪,未知,爱新觉罗・溥仪著,¥28.00
